Wavenumber,Filter response
11192,0.024276
11193,0.024614
11194,0.024928
11195,0.025356
11196,0.025843
11197,0.026331
11198,0.026819
11199,0.02731
11200,0.027802
11201,0.028293
11202,0.028775
11203,0.029255
11204,0.029736
11205,0.030373
11206,0.031234
11207,0.032096
11208,0.032957
11209,0.033789
11210,0.033846
11211,0.033902
11212,0.034294
11213,0.034855
11214,0.035417
11215,0.036232
11216,0.037497
11217,0.038763
11218,0.038607
11219,0.039577
11220,0.040735
11221,0.041893
11222,0.044809
11223,0.046269
11224,0.046464
11225,0.046659
11226,0.046854
11227,0.047049
11228,0.047525
11229,0.048053
11230,0.04858
11231,0.049108
11232,0.049792
11233,0.050812
11234,0.051831
11235,0.052851
11236,0.05388
11237,0.054911
11238,0.055942
11239,0.056997
11240,0.058076
11241,0.059155
11242,0.060356
11243,0.061604
11244,0.062853
11245,0.064101
11246,0.065349
11247,0.066597
11248,0.067845
11249,0.0692
11250,0.070703
11251,0.072207
11252,0.07371
11253,0.075214
11254,0.076717
11255,0.078221
11256,0.079697
11257,0.081418
11258,0.08314
11259,0.084861
11260,0.086583
11261,0.088304
11262,0.090026
11263,0.0919
11264,0.093822
11265,0.095744
11266,0.098524
11267,0.100631
11268,0.102738
11269,0.104845
11270,0.106905
11271,0.108556
11272,0.110208
11273,0.11197
11274,0.113824
11275,0.115678
11276,0.117532
11277,0.119837
11278,0.123055
11279,0.126273
11280,0.129097
11281,0.131801
11282,0.134505
11283,0.137239
11284,0.140022
11285,0.142805
11286,0.145587
11287,0.148275
11288,0.151459
11289,0.154642
11290,0.157826
11291,0.16101
11292,0.164194
11293,0.167416
11294,0.1709
11295,0.174385
11296,0.177869
11297,0.181354
11298,0.184838
11299,0.188323
11300,0.191784
11301,0.195652
11302,0.19952
11303,0.203389
11304,0.207501
11305,0.211615
11306,0.215729
11307,0.220028
11308,0.224437
11309,0.228846
11310,0.233376
11311,0.238064
11312,0.242752
11313,0.24744
11314,0.252128
11315,0.256816
11316,0.261504
11317,0.266405
11318,0.271407
11319,0.276409
11320,0.281431
11321,0.286865
11322,0.292299
11323,0.297733
11324,0.303168
11325,0.308603
11326,0.314038
11327,0.319548
11328,0.325286
11329,0.331023
11330,0.33676
11331,0.348944
11332,0.359138
11333,0.369331
11334,0.372716
11335,0.375121
11336,0.377525
11337,0.38025
11338,0.386719
11339,0.393188
11340,0.399657
11341,0.406342
11342,0.413152
11343,0.419962
11344,0.427316
11345,0.435977
11346,0.444638
11347,0.450895
11348,0.456658
11349,0.46242
11350,0.468182
11351,0.474648
11352,0.481808
11353,0.488969
11354,0.496176
11355,0.503254
11356,0.510333
11357,0.517411
11358,0.52449
11359,0.531568
11360,0.538646
11361,0.545932
11362,0.553299
11363,0.560667
11364,0.568035
11365,0.574963
11366,0.58185
11367,0.588737
11368,0.595836
11369,0.603126
11370,0.610416
11371,0.617706
11372,0.624996
11373,0.632285
11374,0.639575
11375,0.646466
11376,0.653212
11377,0.659958
11378,0.666818
11379,0.673329
11380,0.67984
11381,0.686352
11382,0.692863
11383,0.699374
11384,0.707007
11385,0.714143
11386,0.72037
11387,0.726597
11388,0.732896
11389,0.739571
11390,0.746246
11391,0.752921
11392,0.759051
11393,0.765028
11394,0.771004
11395,0.778346
11396,0.787973
11397,0.794798
11398,0.794565
11399,0.80001
11400,0.805455
11401,0.810901
11402,0.816346
11403,0.821791
11404,0.827236
11405,0.832561
11406,0.837539
11407,0.842517
11408,0.847495
11409,0.852472
11410,0.85745
11411,0.862428
11412,0.867255
11413,0.871313
11414,0.87537
11415,0.879428
11416,0.884043
11417,0.888672
11418,0.893301
11419,0.897237
11420,0.901003
11421,0.904769
11422,0.908402
11423,0.911686
11424,0.914969
11425,0.918253
11426,0.921536
11427,0.92482
11428,0.928103
11429,0.931475
11430,0.934971
11431,0.938467
11432,0.94165
11433,0.943415
11434,0.945181
11435,0.946946
11436,0.948889
11437,0.950913
11438,0.952937
11439,0.954879
11440,0.956552
11441,0.958224
11442,0.959897
11443,0.961447
11444,0.962975
11445,0.964504
11446,0.966033
11447,0.967562
11448,0.96909
11449,0.968861
11450,0.969955
11451,0.971048
11452,0.972142
11453,0.972982
11454,0.973692
11455,0.974402
11456,0.975139
11457,0.975954
11458,0.976768
11459,0.977582
11460,0.978143
11461,0.978656
11462,0.979169
11463,0.979681
11464,0.979974
11465,0.980198
11466,0.980228
11467,0.980403
11468,0.980579
11469,0.980754
11470,0.980929
11471,0.981105
11472,0.98128
11473,0.981584
11474,0.981528
11475,0.981472
11476,0.981415
11477,0.981532
11478,0.981673
11479,0.981815
11480,0.981727
11481,0.981435
11482,0.981142
11483,0.980857
11484,0.980627
11485,0.980398
11486,0.980169
11487,0.979985
11488,0.979819
11489,0.979653
11490,0.979445
11491,0.979047
11492,0.978648
11493,0.978249
11494,0.97785
11495,0.977452
11496,0.977053
11497,0.97707
11498,0.97695
11499,0.976829
11500,0.976675
11501,0.976314
11502,0.975953
11503,0.975591
11504,0.975414
11505,0.975294
11506,0.975174
11507,0.974997
11508,0.974716
11509,0.974436
11510,0.974155
11511,0.97372
11512,0.97328
11513,0.97284
11514,0.972526
11515,0.972312
11516,0.972098
11517,0.972062
11518,0.97173
11519,0.971399
11520,0.971067
11521,0.970735
11522,0.970404
11523,0.970072
11524,0.969791
11525,0.969591
11526,0.969391
11527,0.969191
11528,0.968755
11529,0.968298
11530,0.967842
11531,0.967437
11532,0.967252
11533,0.967067
11534,0.966867
11535,0.966599
11536,0.966332
11537,0.96605
11538,0.965706
11539,0.965362
11540,0.965018
11541,0.964723
11542,0.964499
11543,0.964274
11544,0.964125
11545,0.964028
11546,0.963931
11547,0.963834
11548,0.96356
11549,0.963184
11550,0.962808
11551,0.962626
11552,0.962499
11553,0.962372
11554,0.962245
11555,0.962092
11556,0.961935
11557,0.961777
11558,0.961593
11559,0.961374
11560,0.961155
11561,0.960945
11562,0.960857
11563,0.96077
11564,0.960682
11565,0.960565
11566,0.960434
11567,0.960302
11568,0.960167
11569,0.96002
11570,0.959874
11571,0.959727
11572,0.959761
11573,0.959821
11574,0.959881
11575,0.959855
11576,0.959737
11577,0.959619
11578,0.959324
11579,0.959305
11580,0.959286
11581,0.959268
11582,0.959249
11583,0.95923
11584,0.959394
11585,0.959554
11586,0.959513
11587,0.959472
11588,0.959431
11589,0.959507
11590,0.959595
11591,0.959683
11592,0.959764
11593,0.959838
11594,0.959912
11595,0.959985
11596,0.960045
11597,0.960106
11598,0.960201
11599,0.960317
11600,0.960434
11601,0.96055
11602,0.960761
11603,0.960833
11604,0.960905
11605,0.960977
11606,0.961099
11607,0.961261
11608,0.961423
11609,0.961542
11610,0.961624
11611,0.961705
11612,0.961813
11613,0.96206
11614,0.962306
11615,0.962553
11616,0.962741
11617,0.962912
11618,0.963083
11619,0.963257
11620,0.963476
11621,0.963696
11622,0.963915
11623,0.96414
11624,0.964364
11625,0.964589
11626,0.964882
11627,0.965229
11628,0.965576
11629,0.965502
11630,0.965817
11631,0.966133
11632,0.966448
11633,0.966699
11634,0.966931
11635,0.967163
11636,0.967395
11637,0.967628
11638,0.96786
11639,0.968084
11640,0.968218
11641,0.968534
11642,0.96885
11643,0.969166
11644,0.969482
11645,0.969797
11646,0.970099
11647,0.970352
11648,0.970605
11649,0.970858
11650,0.971015
11651,0.971153
11652,0.971291
11653,0.971777
11654,0.972171
11655,0.972564
11656,0.972951
11657,0.973129
11658,0.973306
11659,0.973483
11660,0.973697
11661,0.97393
11662,0.974164
11663,0.974436
11664,0.974835
11665,0.975234
11666,0.975633
11667,0.97587
11668,0.976081
11669,0.976292
11670,0.976494
11671,0.976685
11672,0.976876
11673,0.977089
11674,0.977597
11675,0.978105
11676,0.978613
11677,0.978751
11678,0.978717
11679,0.978772
11680,0.979107
11681,0.979441
11682,0.979776
11683,0.98011
11684,0.980445
11685,0.980779
11686,0.981114
11687,0.981353
11688,0.981498
11689,0.981642
11690,0.981824
11691,0.982289
11692,0.982754
11693,0.983169
11694,0.983363
11695,0.983556
11696,0.983749
11697,0.98397
11698,0.98425
11699,0.98453
11700,0.98481
11701,0.985225
11702,0.985444
11703,0.985664
11704,0.985883
11705,0.986103
11706,0.986322
11707,0.98677
11708,0.987007
11709,0.987244
11710,0.987481
11711,0.987755
11712,0.988055
11713,0.988356
11714,0.988644
11715,0.988911
11716,0.989178
11717,0.989444
11718,0.989782
11719,0.990122
11720,0.990462
11721,0.990785
11722,0.991096
11723,0.991407
11724,0.991701
