wave,RFR_value
15201,0.985437
15202,0.985314
15203,0.98519
15204,0.985067
15205,0.984944
15206,0.98482
15207,0.984697
15208,0.984573
15209,0.98445
15210,0.984327
15211,0.984203
15212,0.98408
15213,0.983957
15214,0.983833
15215,0.98371
15216,0.983586
15217,0.983463
15218,0.98334
15219,0.983216
15220,0.983093
15221,0.982969
15222,0.982846
15223,0.982723
15224,0.982599
15225,0.982476
15226,0.982352
15227,0.982229
15228,0.982106
15229,0.981982
15230,0.981859
15231,0.981736
15232,0.981612
15233,0.981489
15234,0.981365
15235,0.981242
15236,0.981119
15237,0.980995
15238,0.980872
15239,0.980749
15240,0.980625
15241,0.980502
15242,0.980378
15243,0.980255
15244,0.980132
15245,0.980008
15246,0.979885
15247,0.979761
15248,0.979638
15249,0.979515
15250,0.979391
15251,0.979268
15252,0.979144
15253,0.979021
15254,0.978898
15255,0.978774
15256,0.978651
15257,0.978527
15258,0.978404
15259,0.978281
15260,0.978157
15261,0.978034
15262,0.977911
15263,0.977787
15264,0.977614
15265,0.977381
15266,0.977095
15267,0.976756
15268,0.976365
15269,0.975943
15270,0.975484
15271,0.974985
15272,0.974461
15273,0.973905
15274,0.973318
15275,0.972713
15276,0.972097
15277,0.971482
15278,0.970867
15279,0.970251
15280,0.969636
15281,0.969021
15282,0.968405
15283,0.96779
15284,0.967175
15285,0.966559
15286,0.965944
15287,0.965329
15288,0.964713
15289,0.964098
15290,0.963483
15291,0.962867
15292,0.962252
15293,0.961637
15294,0.961021
15295,0.960406
15296,0.95979
15297,0.959175
15298,0.95856
15299,0.957944
15300,0.957329
15301,0.956714
15302,0.956098
15303,0.955483
15304,0.954868
15305,0.954252
15306,0.953637
15307,0.953022
15308,0.952406
15309,0.951791
15310,0.951176
15311,0.95056
15312,0.949945
15313,0.94933
15314,0.948714
15315,0.948099
15316,0.947484
15317,0.946868
15318,0.946253
15319,0.945638
15320,0.945022
15321,0.944407
15322,0.943792
15323,0.943176
15324,0.942561
15325,0.941945
15326,0.94133
15327,0.940715
15328,0.940099
15329,0.939484
15330,0.938869
15331,0.938253
15332,0.937638
15333,0.937023
15334,0.936407
15335,0.935792
15336,0.935177
15337,0.934561
15338,0.933946
15339,0.933331
15340,0.932715
15341,0.9321
15342,0.931485
15343,0.930869
15344,0.930254
15345,0.929639
15346,0.929023
15347,0.928408
15348,0.927793
15349,0.927177
15350,0.926562
15351,0.925947
15352,0.925331
15353,0.924716
15354,0.9241
15355,0.923485
15356,0.92287
15357,0.922254
15358,0.921667
15359,0.921151
15360,0.920705
15361,0.920335
15362,0.920039
15363,0.919814
15364,0.919658
15365,0.919566
15366,0.91954
15367,0.919573
15368,0.919662
15369,0.919814
15370,0.92002
15371,0.920227
15372,0.920433
15373,0.92064
15374,0.920847
15375,0.921054
15376,0.921261
15377,0.921467
15378,0.921674
15379,0.921881
15380,0.922088
15381,0.922295
15382,0.922501
15383,0.922708
15384,0.922915
15385,0.923122
15386,0.923328
15387,0.923535
15388,0.923742
15389,0.923949
15390,0.924156
15391,0.924362
15392,0.924569
15393,0.924776
15394,0.924983
15395,0.925189
15396,0.925396
15397,0.925603
15398,0.92581
15399,0.926017
15400,0.926223
15401,0.92643
15402,0.926637
15403,0.926844
15404,0.927051
15405,0.927257
15406,0.927464
